L0	L1	L2	L3	L4
24.06.1997	06.1997	Q2 1997	1997	*
23.05.2015	05.2015	Q2 2015	2015	*
15.02.1885	02.1885	Q1 1885	1885	*
04.10.1945	10.1945	Q4 1945	1945	*
19.06.1904	06.1904	Q2 1904	1904	*
30.08.1960	08.1960	Q3 1960	1960	*
13.07.1852	07.1852	Q3 1852	1852	*
29.04.1896	04.1896	Q2 1896	1896	*
09.04.1911	04.1911	Q2 1911	1911	*
03.11.1971	11.1971	Q4 1971	1971	*
13.07.1939	07.1939	Q3 1939	1939	*
03.04.1874	04.1874	Q2 1874	1874	*
12.10.1982	10.1982	Q4 1982	1982	*
09.03.1919	03.1919	Q1 1919	1919	*
24.01.1923	01.1923	Q1 1923	1923	*
22.10.1879	10.1879	Q4 1879	1879	*
16.12.1893	12.1893	Q4 1893	1893	*
21.06.1928	06.1928	Q2 1928	1928	*
25.03.1940	03.1940	Q1 1940	1940	*
23.05.1941	05.1941	Q2 1941	1941	*
11.01.1940	01.1940	Q1 1940	1940	*
14.03.2017	03.2017	Q1 2017	2017	*
07.07.1857	07.1857	Q3 1857	1857	*
15.01.1855	01.1855	Q1 1855	1855	*
05.03.1894	03.1894	Q1 1894	1894	*
22.10.1861	10.1861	Q4 1861	1861	*
10.08.1933	08.1933	Q3 1933	1933	*
07.12.1879	12.1879	Q4 1879	1879	*
15.09.1864	09.1864	Q3 1864	1864	*
14.08.1958	08.1958	Q3 1958	1958	*
26.04.1992	04.1992	Q2 1992	1992	*
01.11.1960	11.1960	Q4 1960	1960	*
25.08.2004	08.2004	Q3 2004	2004	*
18.03.1862	03.1862	Q1 1862	1862	*
30.05.1976	05.1976	Q2 1976	1976	*
31.01.1999	01.1999	Q1 1999	1999	*
17.09.2020	09.2020	Q3 2020	2020	*
07.02.1853	02.1853	Q1 1853	1853	*
11.04.1918	04.1918	Q2 1918	1918	*
02.06.1880	06.1880	Q2 1880	1880	*
07.03.1975	03.1975	Q1 1975	1975	*
07.05.1864	05.1864	Q2 1864	1864	*
31.03.1929	03.1929	Q1 1929	1929	*
15.05.1896	05.1896	Q2 1896	1896	*
16.01.1868	01.1868	Q1 1868	1868	*
21.03.1939	03.1939	Q1 1939	1939	*
24.10.1987	10.1987	Q4 1987	1987	*
19.11.1956	11.1956	Q4 1956	1956	*
06.02.1911	02.1911	Q1 1911	1911	*
23.04.1955	04.1955	Q2 1955	1955	*
13.05.1959	05.1959	Q2 1959	1959	*
15.11.1982	11.1982	Q4 1982	1982	*
20.05.2018	05.2018	Q2 2018	2018	*
23.07.1878	07.1878	Q3 1878	1878	*
06.12.1940	12.1940	Q4 1940	1940	*
24.10.1878	10.1878	Q4 1878	1878	*
12.07.1913	07.1913	Q3 1913	1913	*
09.07.1947	07.1947	Q3 1947	1947	*
20.09.2000	09.2000	Q3 2000	2000	*
18.01.1960	01.1960	Q1 1960	1960	*
18.09.1919	09.1919	Q3 1919	1919	*
09.08.1904	08.1904	Q3 1904	1904	*
17.11.2012	11.2012	Q4 2012	2012	*
01.09.1987	09.1987	Q3 1987	1987	*
24.08.1941	08.1941	Q3 1941	1941	*
02.07.1994	07.1994	Q3 1994	1994	*
30.08.1963	08.1963	Q3 1963	1963	*
19.07.1995	07.1995	Q3 1995	1995	*
31.01.1892	01.1892	Q1 1892	1892	*
20.08.1961	08.1961	Q3 1961	1961	*
23.09.1851	09.1851	Q3 1851	1851	*
03.10.1907	10.1907	Q4 1907	1907	*
16.11.1987	11.1987	Q4 1987	1987	*
27.07.1947	07.1947	Q3 1947	1947	*
28.03.2015	03.2015	Q1 2015	2015	*
07.2017	07.2017	Q3 2017	2017	*
06.05.1971	05.1971	Q2 1971	1971	*
10.09.1859	09.1859	Q3 1859	1859	*
13.06.1948	06.1948	Q2 1948	1948	*
21.07.1975	07.1975	Q3 1975	1975	*
Q2 1941	Q2 1941	Q2 1941	1941	*
25.06.1978	06.1978	Q2 1978	1978	*
21.06.1969	06.1969	Q2 1969	1969	*
03.11.1972	11.1972	Q4 1972	1972	*
18.03.2009	03.2009	Q1 2009	2009	*
03.02.1976	02.1976	Q1 1976	1976	*
01.2003	01.2003	Q1 2003	2003	*
26.04.2015	04.2015	Q2 2015	2015	*
06.03.1976	03.1976	Q1 1976	1976	*
22.06.2017	06.2017	Q2 2017	2017	*
06.10.1900	10.1900	Q4 1900	1900	*
08.09.1969	09.1969	Q3 1969	1969	*
20.05.1908	05.1908	Q2 1908	1908	*
24.11.2014	11.2014	Q4 2014	2014	*
09.04.2002	04.2002	Q2 2002	2002	*
25.10.1915	10.1915	Q4 1915	1915	*
17.12.1938	12.1938	Q4 1938	1938	*
16.06.1988	06.1988	Q2 1988	1988	*
05.2018	05.2018	Q2 2018	2018	*
1994	1994	1994	1994	*
06.07.1997	07.1997	Q3 1997	1997	*
01.12.2009	12.2009	Q4 2009	2009	*
01.05.1932	05.1932	Q2 1932	1932	*
21.01.1982	01.1982	Q1 1982	1982	*
01.02.1882	02.1882	Q1 1882	1882	*
04.08.2000	08.2000	Q3 2000	2000	*
24.07.1858	07.1858	Q3 1858	1858	*
24.09.1894	09.1894	Q3 1894	1894	*
25.05.1940	05.1940	Q2 1940	1940	*
09.01.1913	01.1913	Q1 1913	1913	*
18.05.1938	05.1938	Q2 1938	1938	*
24.01.1987	01.1987	Q1 1987	1987	*
01.10.1959	10.1959	Q4 1959	1959	*
21.04.1902	04.1902	Q2 1902	1902	*
24.07.1978	07.1978	Q3 1978	1978	*
05.07.1870	07.1870	Q3 1870	1870	*
08.12.1909	12.1909	Q4 1909	1909	*
25.03.1899	03.1899	Q1 1899	1899	*
26.11.1921	11.1921	Q4 1921	1921	*
30.09.1964	09.1964	Q3 1964	1964	*
08.12.2017	12.2017	Q4 2017	2017	*
18.10.1899	10.1899	Q4 1899	1899	*
22.09.1942	09.1942	Q3 1942	1942	*
21.01.2017	01.2017	Q1 2017	2017	*
04.05.1930	05.1930	Q2 1930	1930	*
17.04.1941	04.1941	Q2 1941	1941	*
28.08.1981	08.1981	Q3 1981	1981	*
07.09.1970	09.1970	Q3 1970	1970	*
11.06.1978	06.1978	Q2 1978	1978	*
14.04.1863	04.1863	Q2 1863	1863	*
24.10.1943	10.1943	Q4 1943	1943	*
21.02.1948	02.1948	Q1 1948	1948	*
06.03.1906	03.1906	Q1 1906	1906	*
20.03.1986	03.1986	Q1 1986	1986	*
29.09.1866	09.1866	Q3 1866	1866	*
28.09.1946	09.1946	Q3 1946	1946	*
18.12.1889	12.1889	Q4 1889	1889	*
05.11.1946	11.1946	Q4 1946	1946	*
01.01.1858	01.1858	Q1 1858	1858	*
06.03.1881	03.1881	Q1 1881	1881	*
15.08.1940	08.1940	Q3 1940	1940	*
20.12.1886	12.1886	Q4 1886	1886	*
11.02.1964	02.1964	Q1 1964	1964	*
31.05.2014	05.2014	Q2 2014	2014	*
26.07.1874	07.1874	Q3 1874	1874	*
25.07.2002	07.2002	Q3 2002	2002	*
31.03.1961	03.1961	Q1 1961	1961	*
11.10.1852	10.1852	Q4 1852	1852	*
13.06.1860	06.1860	Q2 1860	1860	*
19.07.1952	07.1952	Q3 1952	1952	*
07.1973	07.1973	Q3 1973	1973	*
25.11.1941	11.1941	Q4 1941	1941	*
24.02.1884	02.1884	Q1 1884	1884	*
19.04.1882	04.1882	Q2 1882	1882	*
22.11.2000	11.2000	Q4 2000	2000	*
02.12.1866	12.1866	Q4 1866	1866	*
08.01.1919	01.1919	Q1 1919	1919	*
17.12.1972	12.1972	Q4 1972	1972	*
27.01.1878	01.1878	Q1 1878	1878	*
23.08.1997	08.1997	Q3 1997	1997	*
10.12.1898	12.1898	Q4 1898	1898	*
19.01.1985	01.1985	Q1 1985	1985	*
16.01.1857	01.1857	Q1 1857	1857	*
09.10.1915	10.1915	Q4 1915	1915	*
25.02.1882	02.1882	Q1 1882	1882	*
19.08.1993	08.1993	Q3 1993	1993	*
28.01.1967	01.1967	Q1 1967	1967	*
10.11.1966	11.1966	Q4 1966	1966	*
20.09.1895	09.1895	Q3 1895	1895	*
28.06.1909	06.1909	Q2 1909	1909	*
05.01.1965	01.1965	Q1 1965	1965	*
08.12.1852	12.1852	Q4 1852	1852	*
07.1869	07.1869	Q3 1869	1869	*
11.05.1891	05.1891	Q2 1891	1891	*
04.10.1931	10.1931	Q4 1931	1931	*
25.09.1901	09.1901	Q3 1901	1901	*
04.02.1934	02.1934	Q1 1934	1934	*
14.11.1983	11.1983	Q4 1983	1983	*
31.01.1881	01.1881	Q1 1881	1881	*
02.03.2005	03.2005	Q1 2005	2005	*
09.04.1863	04.1863	Q2 1863	1863	*
05.09.1934	09.1934	Q3 1934	1934	*
16.02.2005	02.2005	Q1 2005	2005	*
28.07.1921	07.1921	Q3 1921	1921	*
24.10.1981	10.1981	Q4 1981	1981	*
06.01.1953	01.1953	Q1 1953	1953	*
15.12.1954	12.1954	Q4 1954	1954	*
01.05.1980	05.1980	Q2 1980	1980	*
28.05.2004	05.2004	Q2 2004	2004	*
25.11.1950	11.1950	Q4 1950	1950	*
06.09.1857	09.1857	Q3 1857	1857	*
16.05.1930	05.1930	Q2 1930	1930	*
07.03.2008	03.2008	Q1 2008	2008	*
02.05.1951	05.1951	Q2 1951	1951	*
03.08.1903	08.1903	Q3 1903	1903	*
05.10.2008	10.2008	Q4 2008	2008	*
14.02.1943	02.1943	Q1 1943	1943	*
24.01.1934	01.1934	Q1 1934	1934	*
20.03.1980	03.1980	Q1 1980	1980	*
18.03.1852	03.1852	Q1 1852	1852	*
14.01.1887	01.1887	Q1 1887	1887	*
25.09.1864	09.1864	Q3 1864	1864	*
05.11.1877	11.1877	Q4 1877	1877	*
09.11.1967	11.1967	Q4 1967	1967	*
12.03.1971	03.1971	Q1 1971	1971	*
21.06.1883	06.1883	Q2 1883	1883	*
17.09.1887	09.1887	Q3 1887	1887	*
24.01.1944	01.1944	Q1 1944	1944	*
10.10.1874	10.1874	Q4 1874	1874	*
23.09.1903	09.1903	Q3 1903	1903	*
11.05.1945	05.1945	Q2 1945	1945	*
26.04.1883	04.1883	Q2 1883	1883	*
02.06.1918	06.1918	Q2 1918	1918	*
24.04.1946	04.1946	Q2 1946	1946	*
27.03.1851	03.1851	Q1 1851	1851	*
28.09.1880	09.1880	Q3 1880	1880	*
22.02.1927	02.1927	Q1 1927	1927	*
16.02.1958	02.1958	Q1 1958	1958	*
14.10.1963	10.1963	Q4 1963	1963	*
29.02.1956	02.1956	Q1 1956	1956	*
21.12.1969	12.1969	Q4 1969	1969	*
19.07.1991	07.1991	Q3 1991	1991	*
22.01.2012	01.2012	Q1 2012	2012	*
23.10.2020	10.2020	Q4 2020	2020	*
18.03.1937	03.1937	Q1 1937	1937	*
09.04.1968	04.1968	Q2 1968	1968	*
20.01.1902	01.1902	Q1 1902	1902	*
25.10.1925	10.1925	Q4 1925	1925	*
27.12.1984	12.1984	Q4 1984	1984	*
08.08.1854	08.1854	Q3 1854	1854	*
15.06.1865	06.1865	Q2 1865	1865	*
27.08.2019	08.2019	Q3 2019	2019	*
15.08.1964	08.1964	Q3 1964	1964	*
11.10.1965	10.1965	Q4 1965	1965	*
24.10.1962	10.1962	Q4 1962	1962	*
20.06.1953	06.1953	Q2 1953	1953	*
30.09.1969	09.1969	Q3 1969	1969	*
29.05.1894	05.1894	Q2 1894	1894	*
15.08.1959	08.1959	Q3 1959	1959	*
12.1977	12.1977	Q4 1977	1977	*
19.01.1858	01.1858	Q1 1858	1858	*
28.06.1986	06.1986	Q2 1986	1986	*
09.05.2018	05.2018	Q2 2018	2018	*
03.05.1972	05.1972	Q2 1972	1972	*
31.07.1974	07.1974	Q3 1974	1974	*
27.05.2018	05.2018	Q2 2018	2018	*
20.09.1852	09.1852	Q3 1852	1852	*
15.09.1899	09.1899	Q3 1899	1899	*
19.03.1939	03.1939	Q1 1939	1939	*
07.03.1977	03.1977	Q1 1977	1977	*
17.09.1985	09.1985	Q3 1985	1985	*
20.03.1855	03.1855	Q1 1855	1855	*
29.10.1880	10.1880	Q4 1880	1880	*
28.02.1903	02.1903	Q1 1903	1903	*
15.07.1984	07.1984	Q3 1984	1984	*
28.08.1899	08.1899	Q3 1899	1899	*
02.09.1969	09.1969	Q3 1969	1969	*
02.04.1945	04.1945	Q2 1945	1945	*
10.08.2008	08.2008	Q3 2008	2008	*
04.07.1934	07.1934	Q3 1934	1934	*
28.03.1978	03.1978	Q1 1978	1978	*
20.05.2011	05.2011	Q2 2011	2011	*
11.04.1852	04.1852	Q2 1852	1852	*
05.12.1924	12.1924	Q4 1924	1924	*
14.02.1866	02.1866	Q1 1866	1866	*
22.05.1943	05.1943	Q2 1943	1943	*
16.11.1975	11.1975	Q4 1975	1975	*
11.1996	11.1996	Q4 1996	1996	*
01.07.1895	07.1895	Q3 1895	1895	*
02.01.1961	01.1961	Q1 1961	1961	*
28.10.1974	10.1974	Q4 1974	1974	*
20.12.1998	12.1998	Q4 1998	1998	*
Q3 2020	Q3 2020	Q3 2020	2020	*
27.03.1923	03.1923	Q1 1923	1923	*
10.03.1857	03.1857	Q1 1857	1857	*
23.08.1918	08.1918	Q3 1918	1918	*
15.04.1966	04.1966	Q2 1966	1966	*
18.01.1892	01.1892	Q1 1892	1892	*
30.08.1890	08.1890	Q3 1890	1890	*
02.04.1955	04.1955	Q2 1955	1955	*
26.04.1857	04.1857	Q2 1857	1857	*
07.1999	07.1999	Q3 1999	1999	*
06.06.2011	06.2011	Q2 2011	2011	*
16.10.1991	10.1991	Q4 1991	1991	*
12.05.1975	05.1975	Q2 1975	1975	*
10.1997	10.1997	Q4 1997	1997	*
05.02.1913	02.1913	Q1 1913	1913	*
14.11.1916	11.1916	Q4 1916	1916	*
08.02.1965	02.1965	Q1 1965	1965	*
26.07.1891	07.1891	Q3 1891	1891	*
26.02.1900	02.1900	Q1 1900	1900	*
06.09.1946	09.1946	Q3 1946	1946	*
16.03.1870	03.1870	Q1 1870	1870	*
29.06.1890	06.1890	Q2 1890	1890	*
30.12.1932	12.1932	Q4 1932	1932	*
25.12.1993	12.1993	Q4 1993	1993	*
11.06.2010	06.2010	Q2 2010	2010	*
03.05.1939	05.1939	Q2 1939	1939	*
15.01.1858	01.1858	Q1 1858	1858	*
30.03.1881	03.1881	Q1 1881	1881	*
19.04.1860	04.1860	Q2 1860	1860	*
26.10.1978	10.1978	Q4 1978	1978	*
24.10.1994	10.1994	Q4 1994	1994	*
13.07.2018	07.2018	Q3 2018	2018	*
13.05.1881	05.1881	Q2 1881	1881	*
03.01.1987	01.1987	Q1 1987	1987	*
06.08.2016	08.2016	Q3 2016	2016	*
03.05.1915	05.1915	Q2 1915	1915	*
09.07.1927	07.1927	Q3 1927	1927	*
05.08.1970	08.1970	Q3 1970	1970	*
01.05.1871	05.1871	Q2 1871	1871	*
29.03.1912	03.1912	Q1 1912	1912	*
10.05.1924	05.1924	Q2 1924	1924	*
17.03.1944	03.1944	Q1 1944	1944	*
25.05.2005	05.2005	Q2 2005	2005	*
02.06.1959	06.1959	Q2 1959	1959	*
10.05.1959	05.1959	Q2 1959	1959	*
17.06.1976	06.1976	Q2 1976	1976	*
11.08.1885	08.1885	Q3 1885	1885	*
24.06.1918	06.1918	Q2 1918	1918	*
30.10.1902	10.1902	Q4 1902	1902	*
29.07.1916	07.1916	Q3 1916	1916	*
25.10.1961	10.1961	Q4 1961	1961	*
20.02.1998	02.1998	Q1 1998	1998	*
03.05.1865	05.1865	Q2 1865	1865	*
10.06.1912	06.1912	Q2 1912	1912	*
Q3 1852	Q3 1852	Q3 1852	1852	*
25.04.1879	04.1879	Q2 1879	1879	*
25.05.2021	05.2021	Q2 2021	2021	*
10.12.1872	12.1872	Q4 1872	1872	*
04.11.1913	11.1913	Q4 1913	1913	*
19.08.1930	08.1930	Q3 1930	1930	*
16.06.2019	06.2019	Q2 2019	2019	*
04.09.1974	09.1974	Q3 1974	1974	*
08.07.2002	07.2002	Q3 2002	2002	*
16.02.1946	02.1946	Q1 1946	1946	*
14.10.1966	10.1966	Q4 1966	1966	*
21.01.1952	01.1952	Q1 1952	1952	*
17.02.1975	02.1975	Q1 1975	1975	*
07.01.1924	01.1924	Q1 1924	1924	*
19.08.1857	08.1857	Q3 1857	1857	*
21.01.1886	01.1886	Q1 1886	1886	*
14.03.1991	03.1991	Q1 1991	1991	*
23.01.1973	01.1973	Q1 1973	1973	*
23.01.1899	01.1899	Q1 1899	1899	*
03.12.1853	12.1853	Q4 1853	1853	*
31.03.1932	03.1932	Q1 1932	1932	*
Q3 1993	Q3 1993	Q3 1993	1993	*
21.03.1948	03.1948	Q1 1948	1948	*
16.08.1966	08.1966	Q3 1966	1966	*
16.10.2001	10.2001	Q4 2001	2001	*
02.07.1853	07.1853	Q3 1853	1853	*
05.03.1930	03.1930	Q1 1930	1930	*
22.09.1931	09.1931	Q3 1931	1931	*
11.1867	11.1867	Q4 1867	1867	*
04.02.1874	02.1874	Q1 1874	1874	*
12.02.1910	02.1910	Q1 1910	1910	*
21.04.1921	04.1921	Q2 1921	1921	*
27.12.1945	12.1945	Q4 1945	1945	*
19.11.1979	11.1979	Q4 1979	1979	*
13.05.1984	05.1984	Q2 1984	1984	*
15.10.1982	10.1982	Q4 1982	1982	*
22.09.2021	09.2021	Q3 2021	2021	*
07.05.1999	05.1999	Q2 1999	1999	*
02.05.1976	05.1976	Q2 1976	1976	*
30.06.1946	06.1946	Q2 1946	1946	*
20.01.1949	01.1949	Q1 1949	1949	*
03.07.1929	07.1929	Q3 1929	1929	*
04.10.1968	10.1968	Q4 1968	1968	*
03.12.2014	12.2014	Q4 2014	2014	*
27.10.1984	10.1984	Q4 1984	1984	*
21.05.1913	05.1913	Q2 1913	1913	*
25.04.1952	04.1952	Q2 1952	1952	*
14.06.2003	06.2003	Q2 2003	2003	*
11.04.1899	04.1899	Q2 1899	1899	*
31.12.1899	12.1899	Q4 1899	1899	*
24.07.1966	07.1966	Q3 1966	1966	*
21.11.2017	11.2017	Q4 2017	2017	*
10.03.1959	03.1959	Q1 1959	1959	*
26.09.1921	09.1921	Q3 1921	1921	*
07.11.1961	11.1961	Q4 1961	1961	*
10.12.1978	12.1978	Q4 1978	1978	*
16.04.1936	04.1936	Q2 1936	1936	*
17.04.1963	04.1963	Q2 1963	1963	*
25.08.1971	08.1971	Q3 1971	1971	*
10.06.1919	06.1919	Q2 1919	1919	*
05.08.1896	08.1896	Q3 1896	1896	*
26.03.1902	03.1902	Q1 1902	1902	*
23.10.1906	10.1906	Q4 1906	1906	*
04.04.1937	04.1937	Q2 1937	1937	*
04.1973	04.1973	Q2 1973	1973	*
05.01.1930	01.1930	Q1 1930	1930	*
17.01.1864	01.1864	Q1 1864	1864	*
16.02.1978	02.1978	Q1 1978	1978	*
06.04.1964	04.1964	Q2 1964	1964	*
11.07.1853	07.1853	Q3 1853	1853	*
01.02.1864	02.1864	Q1 1864	1864	*
17.11.1865	11.1865	Q4 1865	1865	*
01.09.1948	09.1948	Q3 1948	1948	*
23.02.1985	02.1985	Q1 1985	1985	*
21.08.1891	08.1891	Q3 1891	1891	*
08.08.2002	08.2002	Q3 2002	2002	*
10.03.2019	03.2019	Q1 2019	2019	*
25.05.1885	05.1885	Q2 1885	1885	*
04.01.1917	01.1917	Q1 1917	1917	*
22.02.1968	02.1968	Q1 1968	1968	*
29.04.1972	04.1972	Q2 1972	1972	*
20.05.2019	05.2019	Q2 2019	2019	*
21.01.1885	01.1885	Q1 1885	1885	*
17.09.1916	09.1916	Q3 1916	1916	*
30.11.1897	11.1897	Q4 1897	1897	*
23.06.1997	06.1997	Q2 1997	1997	*
27.10.1963	10.1963	Q4 1963	1963	*
14.04.1851	04.1851	Q2 1851	1851	*
25.09.1902	09.1902	Q3 1902	1902	*
12.06.1942	06.1942	Q2 1942	1942	*
23.06.1900	06.1900	Q2 1900	1900	*
07.06.1949	06.1949	Q2 1949	1949	*
08.1907	08.1907	Q3 1907	1907	*
23.11.1877	11.1877	Q4 1877	1877	*
01.11.1907	11.1907	Q4 1907	1907	*
28.09.1925	09.1925	Q3 1925	1925	*
17.08.1982	08.1982	Q3 1982	1982	*
24.08.1890	08.1890	Q3 1890	1890	*
25.06.1860	06.1860	Q2 1860	1860	*
11.05.1904	05.1904	Q2 1904	1904	*
30.12.1918	12.1918	Q4 1918	1918	*
19.02.1962	02.1962	Q1 1962	1962	*
23.04.1998	04.1998	Q2 1998	1998	*
23.12.1940	12.1940	Q4 1940	1940	*
11.11.1892	11.1892	Q4 1892	1892	*
22.07.1890	07.1890	Q3 1890	1890	*
31.12.1852	12.1852	Q4 1852	1852	*
19.12.1972	12.1972	Q4 1972	1972	*
02.11.1878	11.1878	Q4 1878	1878	*
09.11.1956	11.1956	Q4 1956	1956	*
24.08.2016	08.2016	Q3 2016	2016	*
31.01.1891	01.1891	Q1 1891	1891	*
08.07.1935	07.1935	Q3 1935	1935	*
07.01.1962	01.1962	Q1 1962	1962	*
18.06.2011	06.2011	Q2 2011	2011	*
01.01.2022	01.2022	Q1 2022	2022	*
05.02.2008	02.2008	Q1 2008	2008	*
22.02.2000	02.2000	Q1 2000	2000	*
02.10.1919	10.1919	Q4 1919	1919	*
24.03.1962	03.1962	Q1 1962	1962	*
22.03.2021	03.2021	Q1 2021	2021	*
22.02.1943	02.1943	Q1 1943	1943	*
18.10.1987	10.1987	Q4 1987	1987	*
23.05.1874	05.1874	Q2 1874	1874	*
20.01.1911	01.1911	Q1 1911	1911	*
13.08.1956	08.1956	Q3 1956	1956	*
20.03.2021	03.2021	Q1 2021	2021	*
20.05.1995	05.1995	Q2 1995	1995	*
05.08.1852	08.1852	Q3 1852	1852	*
04.11.1856	11.1856	Q4 1856	1856	*
31.12.2012	12.2012	Q4 2012	2012	*
23.07.1857	07.1857	Q3 1857	1857	*
05.10.1948	10.1948	Q4 1948	1948	*
30.12.2013	12.2013	Q4 2013	2013	*
02.03.1915	03.1915	Q1 1915	1915	*
13.07.2003	07.2003	Q3 2003	2003	*
03.10.2006	10.2006	Q4 2006	2006	*
06.11.1868	11.1868	Q4 1868	1868	*
12.04.1908	04.1908	Q2 1908	1908	*
25.04.1976	04.1976	Q2 1976	1976	*
25.10.1853	10.1853	Q4 1853	1853	*
04.04.1884	04.1884	Q2 1884	1884	*
26.07.1861	07.1861	Q3 1861	1861	*
31.12.1970	12.1970	Q4 1970	1970	*
08.10.1997	10.1997	Q4 1997	1997	*
09.05.2007	05.2007	Q2 2007	2007	*
03.06.1900	06.1900	Q2 1900	1900	*
21.02.1938	02.1938	Q1 1938	1938	*
10.05.1921	05.1921	Q2 1921	1921	*
13.09.1857	09.1857	Q3 1857	1857	*
19.12.1908	12.1908	Q4 1908	1908	*
05.09.1938	09.1938	Q3 1938	1938	*
1889	1889	1889	1889	*
20.12.1963	12.1963	Q4 1963	1963	*
30.05.2016	05.2016	Q2 2016	2016	*
02.05.1867	05.1867	Q2 1867	1867	*
04.12.1937	12.1937	Q4 1937	1937	*
09.06.1971	06.1971	Q2 1971	1971	*
10.06.1973	06.1973	Q2 1973	1973	*
26.02.1957	02.1957	Q1 1957	1957	*
13.11.1942	11.1942	Q4 1942	1942	*
29.09.1941	09.1941	Q3 1941	1941	*
06.05.1899	05.1899	Q2 1899	1899	*
31.12.2010	12.2010	Q4 2010	2010	*
01.02.1872	02.1872	Q1 1872	1872	*
11.10.2006	10.2006	Q4 2006	2006	*
18.01.2013	01.2013	Q1 2013	2013	*
28.08.1892	08.1892	Q3 1892	1892	*
14.12.1974	12.1974	Q4 1974	1974	*
20.05.2000	05.2000	Q2 2000	2000	*
13.09.1987	09.1987	Q3 1987	1987	*
23.08.1871	08.1871	Q3 1871	1871	*
15.02.1968	02.1968	Q1 1968	1968	*
02.03.1992	03.1992	Q1 1992	1992	*
16.07.1850	07.1850	Q3 1850	1850	*
09.1928	09.1928	Q3 1928	1928	*
02.07.1939	07.1939	Q3 1939	1939	*
25.12.1934	12.1934	Q4 1934	1934	*
12.10.1972	10.1972	Q4 1972	1972	*
31.07.2001	07.2001	Q3 2001	2001	*
Q2 1889	Q2 1889	Q2 1889	1889	*
05.01.1907	01.1907	Q1 1907	1907	*
11.05.1995	05.1995	Q2 1995	1995	*
31.10.2015	10.2015	Q4 2015	2015	*
14.07.1987	07.1987	Q3 1987	1987	*
15.08.1987	08.1987	Q3 1987	1987	*
17.11.1977	11.1977	Q4 1977	1977	*
10.02.1902	02.1902	Q1 1902	1902	*
16.03.1953	03.1953	Q1 1953	1953	*
09.02.1935	02.1935	Q1 1935	1935	*
20.08.1958	08.1958	Q3 1958	1958	*
18.09.2001	09.2001	Q3 2001	2001	*
21.06.1960	06.1960	Q2 1960	1960	*
10.10.1980	10.1980	Q4 1980	1980	*
27.07.1922	07.1922	Q3 1922	1922	*
19.12.1914	12.1914	Q4 1914	1914	*
08.12.1946	12.1946	Q4 1946	1946	*
15.06.1990	06.1990	Q2 1990	1990	*
05.12.1916	12.1916	Q4 1916	1916	*
10.1979	10.1979	Q4 1979	1979	*
26.06.1868	06.1868	Q2 1868	1868	*
15.03.1905	03.1905	Q1 1905	1905	*
22.07.1996	07.1996	Q3 1996	1996	*
07.04.1963	04.1963	Q2 1963	1963	*
06.12.1963	12.1963	Q4 1963	1963	*
19.03.1903	03.1903	Q1 1903	1903	*
01.08.1851	08.1851	Q3 1851	1851	*
21.02.1920	02.1920	Q1 1920	1920	*
15.12.1990	12.1990	Q4 1990	1990	*
05.07.1857	07.1857	Q3 1857	1857	*
08.07.1872	07.1872	Q3 1872	1872	*
10.06.1902	06.1902	Q2 1902	1902	*
08.09.2003	09.2003	Q3 2003	2003	*
24.05.2011	05.2011	Q2 2011	2011	*
16.06.2012	06.2012	Q2 2012	2012	*
28.06.2020	06.2020	Q2 2020	2020	*
29.01.1912	01.1912	Q1 1912	1912	*
07.03.1920	03.1920	Q1 1920	1920	*
07.04.1969	04.1969	Q2 1969	1969	*
28.09.1888	09.1888	Q3 1888	1888	*
08.05.1940	05.1940	Q2 1940	1940	*
17.10.1948	10.1948	Q4 1948	1948	*
05.1911	05.1911	Q2 1911	1911	*
28.08.1934	08.1934	Q3 1934	1934	*
03.09.1981	09.1981	Q3 1981	1981	*
01.07.1994	07.1994	Q3 1994	1994	*
20.09.1932	09.1932	Q3 1932	1932	*
20.02.1922	02.1922	Q1 1922	1922	*
14.03.1889	03.1889	Q1 1889	1889	*
13.08.1921	08.1921	Q3 1921	1921	*
02.11.1960	11.1960	Q4 1960	1960	*
27.07.1897	07.1897	Q3 1897	1897	*
24.02.1890	02.1890	Q1 1890	1890	*
06.11.1894	11.1894	Q4 1894	1894	*
24.05.1966	05.1966	Q2 1966	1966	*
23.03.1933	03.1933	Q1 1933	1933	*
16.12.1944	12.1944	Q4 1944	1944	*
12.10.1979	10.1979	Q4 1979	1979	*
10.04.2013	04.2013	Q2 2013	2013	*
11.05.1854	05.1854	Q2 1854	1854	*
25.03.2017	03.2017	Q1 2017	2017	*
09.07.1929	07.1929	Q3 1929	1929	*
25.07.1996	07.1996	Q3 1996	1996	*
29.09.1953	09.1953	Q3 1953	1953	*
22.06.1964	06.1964	Q2 1964	1964	*
30.04.1982	04.1982	Q2 1982	1982	*
12.1868	12.1868	Q4 1868	1868	*
22.02.1960	02.1960	Q1 1960	1960	*
28.05.1950	05.1950	Q2 1950	1950	*
08.07.1930	07.1930	Q3 1930	1930	*
05.01.1919	01.1919	Q1 1919	1919	*
25.05.1989	05.1989	Q2 1989	1989	*
08.07.2018	07.2018	Q3 2018	2018	*
14.11.1925	11.1925	Q4 1925	1925	*
27.03.1867	03.1867	Q1 1867	1867	*
16.11.1870	11.1870	Q4 1870	1870	*
26.01.1856	01.1856	Q1 1856	1856	*
22.09.1887	09.1887	Q3 1887	1887	*
