L0	L1	L2
6589	0486	0050
008707328355M8	00870732000001	00870000000000
2261	0247	0050
008709176293M8	00870917000001	00870000000000
8885	0809	0068
3983	0478	0074
1378	0214	0068
008406155031M8	00840615000001	00840000000000
008709178267M8	00870917000001	00870000000000
003702457335M8	00370245000001	00370000000000
9422	0284	0064
6153	0714	0074
2899	0698	0087
005006188113M8	00500618000001	00500000000000
003703386052M8	00370338000001	00370000000000
4993	0205	0039
6430	0917	0087
2657	0338	0037
007902839404M8	00790283000001	00790000000000
2866	0698	0087
1990	0478	0074
008404801061M8	00840480000001	00840000000000
4363	0714	0074
7401	0901	0060
5978	0205	0039
006007924473M8	00600792000001	00600000000000
4540	0732	0087
6086	0653	0037
1004	0442	0045
005006183458M8	00500618000001	00500000000000
004501307924M8	00450130000001	00450000000000
8809	0698	0087
3738	0171	0079
1181	0586	0079
006406221844M8	00640622000001	00640000000000
006009011395M8	00600901000001	00600000000000
2861	0247	0050
4972	0586	0079
003902054025M8	00390205000001	00390000000000
007407144073M8	00740714000001	00740000000000
008105576252M8	00810557000001	00810000000000
0784	0784	0037
007407148084M8	00740714000001	00740000000000
006806244109M8	00680624000001	00680000000000
006806244384M8	00680624000001	00680000000000
008108558365M7	00810855000001	00810000000000
5518	0338	0037
006406222419M8	00640622000001	00640000000000
7144	0698	0087
007905869645M8	00790586000001	00790000000000
3709	0903	0060
003704317121M7	00370431000001	00370000000000
008404805145M5	00840480000001	00840000000000
007105028182M8	00710502000001	00710000000000
8359	0732	0087
005604412426M8	00560441000001	00560000000000
005205675317M8	00520567000001	00520000000000
007407148951M7	00740714000001	00740000000000
008709179346M8	00870917000001	00870000000000
008709178014M8	00870917000001	00870000000000
0120	0321	0045
003703053653M8	00370305000001	00370000000000
2020	0668	0071
3276	0184	0056
007901719591M8	00790171000001	00790000000000
1456	0698	0087
008108556365M8	00810855000001	00810000000000
004508035680M8	00450803000001	00450000000000
9010	0622	0064
9073	0899	0084
8510	0638	0068
1686	0714	0074
005604417817M8	00560441000001	00560000000000
00450000000000	00450000000000	00450000000000
1252	0255	0052
3931	0834	0052
003701416009M8	00370141000001	00370000000000
2528	0130	0045
006009033179M8	00600903000001	00600000000000
1357	0714	0074
3032	0255	0052
3302	0247	0050
8244	0708	0064
9662	0714	0074
8061	0205	0039
7110	0725	0037
008707324540M8	00870732000001	00870000000000
005004861746M8	00500486000001	00500000000000
008706981758M8	00870698000001	00870000000000
006001911051M8	00600191000001	00600000000000
006009284339M8	00600928000001	00600000000000
008706987968M8	00870698000001	00870000000000
005205675474M8	00520567000001	00520000000000
007404788440M8	00740478000001	00740000000000
008706987146M8	00870698000001	00870000000000
004504427245M8	00450442000001	00450000000000
8877	0198	0037
2178	0714	0074
004504421382M8	00450442000001	00450000000000
005604412084M8	00560441000001	00560000000000
006009016182M8	00600901000001	00600000000000
007404786556M8	00740478000001	00740000000000
008709177119M8	00870917000001	00870000000000
2824	0502	0071
4896	0803	0045
005208349692M7	00520834000001	00520000000000
6730	0714	0074
2559	0917	0087
2683	0917	0087
2262	0247	0050
5422	0732	0087
008707322512M8	00870732000001	00870000000000
7756	0796	0079
006802144874M8	00680214000001	00680000000000
007105027792M8	00710502000001	00710000000000
3680	0205	0039
008408999331M8	00840899000001	00840000000000
2234	0245	0037
8227	0714	0074
8701	0480	0084
00390000000000	00390000000000	00390000000000
8187	0441	0056
3362	0272	0060
007407149378M8	00740714000001	00740000000000
005002472495M8	00500247000001	00500000000000
007103176503M8	00710317000001	00710000000000
006808094296M8	00680809000001	00680000000000
005006184170M8	00500618000001	00500000000000
1436	0714	0074
2597	0478	0074
007407145973M8	00740714000001	00740000000000
008108241815M7	00810824000001	00810000000000
8009	0198	0037
006406223863M8	00640622000001	00640000000000
006402846217M8	00640284000001	00640000000000
3237	0638	0068
007407142066M8	00740714000001	00740000000000
7684	0661	0060
007902912411M8	00790291000001	00790000000000
7967	0638	0068
007106681717M8	00710668000001	00710000000000
008406158641M8	00840615000001	00840000000000
0071	0071	0071
008706983713M8	00870698000001	00870000000000
003703382848M8	00370338000001	00370000000000
004501303190M8	00450130000001	00450000000000
003902055412M8	00390205000001	00390000000000
8783	0245	0037
4613	0247	0050
005002476834M8	00500247000001	00500000000000
007902911167M8	00790291000001	00790000000000
007407144346M8	00740714000001	00740000000000
007407141599M8	00740714000001	00740000000000
4787	0712	0068
3256	0698	0087
5240	0291	0079
5137	0638	0068
00600272000001	00600272000001	00600000000000
6236	0618	0050
3572	0796	0079
007901718727M8	00790171000001	00790000000000
008706984502M8	00870698000001	00870000000000
003707251854M8	00370725000001	00370000000000
005006183693M8	00500618000001	00500000000000
007407148153M8	00740714000001	00740000000000
003902057972M8	00390205000001	00390000000000
005208347452M8	00520834000001	00520000000000
005208349656M8	00520834000001	00520000000000
007105028717M8	00710502000001	00710000000000
5407	0441	0056
007901715248M8	00790171000001	00790000000000
006406229023M8	00640622000001	00640000000000
9351	0903	0060
8529	0824	0081
008108557686M8	00810855000001	00810000000000
004504429005M8	00450442000001	00450000000000
007106684733M8	00710668000001	00710000000000
3508	0214	0068
006007926333M8	00600792000001	00600000000000
008404806572M8	00840480000001	00840000000000
007407142985M8	00740714000001	00740000000000
3449	0191	0060
007106688961M8	00710668000001	00710000000000
9470	0622	0064
6692	0283	0079
006001914331M8	00600191000001	00600000000000
003704313207M8	00370431000001	00370000000000
006007922482M8	00600792000001	00600000000000
006007926374M8	00600792000001	00600000000000
8587	0714	0074
007105025133M8	00710502000001	00710000000000
003708907039V8	00370890000001	00370000000000
008108554281M8	00810855000001	00810000000000
2644	0283	0079
008706987656M8	00870698000001	00870000000000
6459	0205	0039
8275	0803	0045
006804305173M8	00680430000001	00680000000000
006009015896M7	00600901000001	00600000000000
3095	0698	0087
8034	0719	0037
008707324843M8	00870732000001	00870000000000
5989	0184	0056
4716	0917	0087
005006188674M8	00500618000001	00500000000000
006001913173M8	00600191000001	00600000000000
003701983997M8	00370198000001	00370000000000
008707327928M8	00870732000001	00870000000000
003902059303M8	00390205000001	00390000000000
1786	0917	0087
3990	0698	0087
005604415513M8	00560441000001	00560000000000
005002479409M8	00500247000001	00500000000000
006804306013M8	00680430000001	00680000000000
3621	0130	0045
003701414397M8	00370141000001	00370000000000
007907967745M8	00790796000001	00790000000000
1160	0824	0081
008706981750M8	00870698000001	00870000000000
003703386981M8	00370338000001	00370000000000
007404786715M8	00740478000001	00740000000000
007407145519M8	00740714000001	00740000000000
3304	0855	0081
007105029493M8	00710502000001	00710000000000
8270	0714	0074
006009019508M8	00600901000001	00600000000000
7868	0653	0037
2588	0712	0068
007907965769M8	00790796000001	00790000000000
007905865427M8	00790586000001	00790000000000
3783	0928	0060
1513	0624	0068
8006	0725	0037
6908	0205	0039
8305	0668	0071
5944	0291	0079
007902915240M8	00790291000001	00790000000000
5528	0714	0074
005205678570M8	00520567000001	00520000000000
005002479655M8	00500247000001	00500000000000
2668	0502	0071
003707258450M8	00370725000001	00370000000000
007902833986M7	00790283000001	00790000000000
5196	0615	0084
006807124235M8	00680712000001	00680000000000
00790586000001	00790586000001	00790000000000
3396	0899	0084
7407	0903	0060
3156	0338	0037
005205679602M8	00520567000001	00520000000000
2571	0698	0087
006009037602M8	00600903000001	00600000000000
1005	0698	0087
008709172203M8	00870917000001	00870000000000
008707325422M8	00870732000001	00870000000000
8269	0809	0068
007905868329M8	00790586000001	00790000000000
1027	0622	0064
2461	0618	0050
9423	0528	0079
4942	0430	0068
2625	0698	0087
7650	0698	0087
008408998048M8	00840899000001	00840000000000
2112	0291	0079
005006187220M8	00500618000001	00500000000000
6656	0803	0045
003708906370V8	00370890000001	00370000000000
006806384696M8	00680638000001	00680000000000
7053	0824	0081
3358	0732	0087
5859	0899	0084
005202551326M7	00520255000001	00520000000000
6312	0714	0074
2593	0441	0056
3066	0708	0064
008406153079M8	00840615000001	00840000000000
1830	0293	0071
004505110000L4	004505110000L4	00450000000000
008706988429M8	00870698000001	00870000000000
4727	0486	0050
4641	0272	0060
7822	0714	0074
007407149855M8	00740714000001	00740000000000
005006188537M8	00500618000001	00500000000000
8081	0917	0087
007404787223M8	00740478000001	00740000000000
8525	0661	0060
008406152304M8	00840615000001	00840000000000
1998	0732	0087
007407148517M8	00740714000001	00740000000000
4240	0917	0087
00500486000001	00500486000001	00500000000000
003902052247M8	00390205000001	00390000000000
4422	0698	0087
007105023272M8	00710502000001	00710000000000
008105574959M8	00810557000001	00810000000000
6940	0834	0052
8691	0442	0045
006407089294M8	00640708000001	00640000000000
3960	0255	0052
5936	0191	0060
008706986545M8	00870698000001	00870000000000
005601847540M8	00560184000001	00560000000000
6619	0624	0068
008706986336M8	00870698000001	00870000000000
9061	0430	0068
1534	0130	0045
4775	0502	0071
007407145155M8	00740714000001	00740000000000
008108246186M8	00810824000001	00810000000000
6368	0317	0071
006002724224M8	00600272000001	00600000000000
005604414632M8	00560441000001	00560000000000
005604416109M8	00560441000001	00560000000000
006804307749M8	00680430000001	00680000000000
008105575567M8	00810557000001	00810000000000
2722	0714	0074
007407141530M8	00740714000001	00740000000000
9661	0899	0084
5999	0251	0045
006007926204M8	00600792000001	00600000000000
007905863151M8	00790586000001	00790000000000
3796	0917	0087
008707328177M8	00870732000001	00870000000000
003902054765M8	00390205000001	00390000000000
7008	0698	0087
006002728278M8	00600272000001	00600000000000
008408999758M8	00840899000001	00840000000000
006402845959M8	00640284000001	00640000000000
5802	0903	0060
7216	0708	0064
9379	0567	0052
003702451367M8	00370245000001	00370000000000
6937	0293	0071
3301	0245	0037
1278	0141	0037
004508033270M3	00450803000001	00450000000000
006007923702M8	00600792000001	00600000000000
007105028834M8	00710502000001	00710000000000
2826	0441	0056
007105023037M8	00710502000001	00710000000000
5275	0567	0052
008408998864M8	00840899000001	00840000000000
8463	0624	0068
007905865709M8	00790586000001	00790000000000
8594	0834	0052
1825	0255	0052
008709176269M8	00870917000001	00870000000000
008706987321M8	00870698000001	00870000000000
8827	0205	0039
5814	0901	0060
008709174715M8	00870917000001	00870000000000
1103	0130	0045
006009033612M5	00600903000001	00600000000000
2056	0714	0074
003902059816M8	00390205000001	00390000000000
007105027015M8	00710502000001	00710000000000
008709173450M8	00870917000001	00870000000000
3534	0557	0081
1574	0809	0068
8211	0291	0079
003707256652M8	00370725000001	00370000000000
006804309035M8	00680430000001	00680000000000
007106688139M8	00710668000001	00710000000000
1058	0284	0064
007407143896M8	00740714000001	00740000000000
4614	0668	0071
9578	0903	0060
004508032448M8	00450803000001	00450000000000
006808095417M8	00680809000001	00680000000000
003704312749M7	00370431000001	00370000000000
9113	0624	0068
007907963386M8	00790796000001	00790000000000
3216	0171	0079
006804302792M8	00680430000001	00680000000000
1054	0714	0074
4638	0792	0060
3219	0638	0068
6089	0284	0064
4586	0638	0068
6864	0917	0087
007102931583M8	00710293000001	00710000000000
005002471185M8	00500247000001	00500000000000
4020	0338	0037
006406222869M8	00640622000001	00640000000000
006804301929M8	00680430000001	00680000000000
008404803837M8	00840480000001	00840000000000
003902051788M8	00390205000001	00390000000000
003703388346M8	00370338000001	00370000000000
2691	0478	0074
008706981966M8	00870698000001	00870000000000
8120	0809	0068
005004863467M8	00500486000001	00500000000000
006402842392M8	00640284000001	00640000000000
7576	0917	0087
006001912558M8	00600191000001	00600000000000
008709171751M8	00870917000001	00870000000000
1931	0668	0071
003702452601M8	00370245000001	00370000000000
005006189536M8	00500618000001	00500000000000
006804304163M8	00680430000001	00680000000000
9458	0917	0087
006001911739M7	00600191000001	00600000000000
8890	0441	0056
006804307702M8	00680430000001	00680000000000
6896	0917	0087
8570	0567	0052
4577	0338	0037
1206	0725	0037
7981	0708	0064
003702454776M8	00370245000001	00370000000000
005208346300M8	00520834000001	00520000000000
2334	0792	0060
007902912682M8	00790291000001	00790000000000
007905282916M8	00790528000001	00790000000000
8949	0205	0039
007404785931M8	00740478000001	00740000000000
005604416808M8	00560441000001	00560000000000
007907964040M8	00790796000001	00790000000000
003707253025M8	00370725000001	00370000000000
008408992685M8	00840899000001	00840000000000
008707326115M8	00870732000001	00870000000000
005006184026M8	00500618000001	00500000000000
008706988802M8	00870698000001	00870000000000
7499	0586	0079
8819	0486	0050
008406158566M8	00840615000001	00840000000000
6979	0502	0071
007106688982M8	00710668000001	00710000000000
5470	0668	0071
1405	0903	0060
8489	0714	0074
003902057728M8	00390205000001	00390000000000
9581	0714	0074
005202551640M8	00520255000001	00520000000000
2985	0714	0074
006808098269M8	00680809000001	00680000000000
003902051587M8	00390205000001	00390000000000
7198	0792	0060
006001915936M8	00600191000001	00600000000000
006002721947M8	00600272000001	00600000000000
007901716955M8	00790171000001	00790000000000
007904327479M8	00790432000001	00790000000000
003902055649M8	00390205000001	00390000000000
00840615000001	00840615000001	00840000000000
7392	0653	0037
9183	0432	0079
4851	0622	0064
0265	0321	0045
3757	0714	0074
007105024554M8	00710502000001	00710000000000
007905864816M8	00790586000001	00790000000000
004504423348M8	00450442000001	00450000000000
006009017278M8	00600901000001	00600000000000
006007924470M8	00600792000001	00600000000000
7693	0141	0037
007902911125M8	00790291000001	00790000000000
008404801926M8	00840480000001	00840000000000
006804301366M8	00680430000001	00680000000000
005601848690M8	00560184000001	00560000000000
9033	0725	0037
008709171856M8	00870917000001	00870000000000
2014	0714	0074
006808096608M8	00680809000001	00680000000000
007901716822M7	00790171000001	00790000000000
7161	0291	0079
005601844883M8	00560184000001	00560000000000
005202558803M8	00520255000001	00520000000000
003902052881M8	00390205000001	00390000000000
8764	0141	0037
6415	0317	0071
004501308786M8	00450130000001	00450000000000
7158	0793	0079
3383	0855	0081
003706537868M8	00370653000001	00370000000000
005609071900M8	00560907000001	00560000000000
5680	0803	0045
006402846089M8	00640284000001	00640000000000
006806248488M8	00680624000001	00680000000000
006806241229M8	00680624000001	00680000000000
008408999477M8	00840899000001	00840000000000
005006185382M8	00500618000001	00500000000000
005208343364M8	00520834000001	00520000000000
3472	0245	0037
9686	0441	0056
004501305615M8	00450130000001	00450000000000
7540	0184	0056
9014	0353	0037
007407142594M8	00740714000001	00740000000000
6882	0245	0037
008108246222M8	00810824000001	00810000000000
3823	0272	0060
8343	0732	0087
1944	0668	0071
8406	0714	0074
3438	0792	0060
3098	0714	0074
007407141416M7	00740714000001	00740000000000
2479	0441	0056
003703381113M8	00370338000001	00370000000000
8478	0430	0068
006804306717M8	00680430000001	00680000000000
008406152674M8	00840615000001	00840000000000
1245	0272	0060
007407148526M8	00740714000001	00740000000000
008706987305M8	00870698000001	00870000000000
3774	0714	0074
6889	0284	0064
3717	0205	0039
6732	0638	0068
9672	0732	0087
4223	0205	0039
9628	0928	0060
006804305563M8	00680430000001	00680000000000
007902836426M8	00790283000001	00790000000000
5875	0502	0071
008707321626M8	00870732000001	00870000000000
4883	0184	0056
1204	0430	0068
003704313224M8	00370431000001	00370000000000
007902918551M8	00790291000001	00790000000000
008709175077M8	00870917000001	00870000000000
6719	0668	0071
1331	0901	0060
008408992439M8	00840899000001	00840000000000
006804301814M8	00680430000001	00680000000000
007907964629M7	00790796000001	00790000000000
7275	0184	0056
005004869029M8	00500486000001	00500000000000
005202558388M8	00520255000001	00520000000000
005205673417M8	00520567000001	00520000000000
007407148625M8	00740714000001	00740000000000
008706987168M8	00870698000001	00870000000000
006804309061M8	00680430000001	00680000000000
9461	0796	0079
003707193697M8	00370719000001	00370000000000
9500	0615	0084
007901714527M8	00790171000001	00790000000000
003703533480M8	00370353000001	00370000000000
006406229300M8	00640622000001	00640000000000
6265	0514	0045
8922	0622	0064
003703535533M8	00370353000001	00370000000000
007904326314M8	00790432000001	00790000000000
5437	0708	0064
5845	0430	0068
7817	0441	0056
5349	0480	0084
8593	0480	0084
005205673497M8	00520567000001	00520000000000
007407141364M8	00740714000001	00740000000000
007901718614M8	00790171000001	00790000000000
005604418434M8	00560441000001	00560000000000
9310	0917	0087
00870917000001	00870917000001	00870000000000
5763	0899	0084
7503	0917	0087
4368	0714	0074
8661	0901	0060
1429	0714	0074
8769	0184	0056
3493	0698	0087
3616	0430	0068
006806246595M8	00680624000001	00680000000000
005208342445M8	00520834000001	00520000000000
003701987905M8	00370198000001	00370000000000
4146	0557	0081
6477	0622	0064
6069	0698	0087
7655	0796	0079
6362	0698	0087
007902913500M8	00790291000001	00790000000000
003703383156M8	00370338000001	00370000000000
004504421139M8	00450442000001	00450000000000
3813	0502	0071
6852	0899	0084
8208	0502	0071
003902058682M8	00390205000001	00390000000000
9058	0247	0050
6660	0205	0039
2218	0796	0079
005604417077M8	00560441000001	00560000000000
008707326319M8	00870732000001	00870000000000
008707324970M8	00870732000001	00870000000000
008706984324M8	00870698000001	00870000000000
3389	0293	0071
7452	0834	0052
00810824000001	00810824000001	00810000000000
8055	0638	0068
008406152754M8	00840615000001	00840000000000
006406227918M8	00640622000001	00640000000000
6343	0714	0074
007907935277V7	00790793000001	00790000000000
4617	0624	0068
2767	0130	0045
007407147584M8	00740714000001	00740000000000
8619	0514	0045
5575	0191	0060
4859	0708	0064
1746	0486	0050
007902838165M8	00790283000001	00790000000000
8893	0430	0068
7496	0142	0087
007106688971M8	00710668000001	00710000000000
006007924644M8	00600792000001	00600000000000
005002472099M8	00500247000001	00500000000000
4185	0899	0084
6336	0698	0087
006806241107M8	00680624000001	00680000000000
008706984825M8	00870698000001	00870000000000
003902053893M8	00390205000001	00390000000000
5474	0567	0052
4173	0824	0081
008706985278M8	00870698000001	00870000000000
006806246325M8	00680624000001	00680000000000
008701428280M8	00870142000001	00870000000000
2624	0714	0074
008709178109M8	00870917000001	00870000000000
6090	0899	0084
9830	0480	0084
7681	0293	0071
004508038275M7	00450803000001	00450000000000
2274	0714	0074
2742	0668	0071
007407144053M8	00740714000001	00740000000000
007407146534M8	00740714000001	00740000000000
5926	0441	0056
005604415165M8	00560441000001	00560000000000
7796	0668	0071
7397	0698	0087
007901719191M8	00790171000001	00790000000000
008709171755M8	00870917000001	00870000000000
006402842007M8	00640284000001	00640000000000
008408991539M8	00840899000001	00840000000000
1164	0698	0087
3406	0708	0064
3123	0714	0074
7888	0917	0087
008709173981M8	00870917000001	00870000000000
1782	0431	0037
006009288770M8	00600928000001	00600000000000
007407142097M8	00740714000001	00740000000000
8842	0668	0071
004503210553M6	004503210000L4	00450000000000
006802144805M8	00680214000001	00680000000000
5784	0283	0079
006006617684M8	00600661000001	00600000000000
005604418187M8	00560441000001	00560000000000
008707328204M8	00870732000001	00870000000000
3473	0191	0060
006407087016M8	00640708000001	00640000000000
6423	0899	0084
8759	0480	0084
2229	0899	0084
1567	0255	0052
2754	0615	0084
007106682933M8	00710668000001	00710000000000
5512	0205	0039
9649	0714	0074
9452	0528	0079
6024	0205	0039
1744	0917	0087
005002478404M8	00500247000001	00500000000000
6007	0899	0084
5208	0353	0037
005006185166M8	00500618000001	00500000000000
4548	0899	0084
4910	0205	0039
5136	0618	0050
5468	0809	0068
003707192552M8	00370719000001	00370000000000
1283	0899	0084
3780	0698	0087
005205673229M8	00520567000001	00520000000000
7451	0714	0074
7654	0824	0081
008706981791M8	00870698000001	00870000000000
7792	0502	0071
008706988354M8	00870698000001	00870000000000
3608	0198	0037
8357	0698	0087
8499	0431	0037
007407147513M8	00740714000001	00740000000000
3250	0698	0087
5612	0714	0074
006007924403M8	00600792000001	00600000000000
9477	0899	0084
007901713881M8	00790171000001	00790000000000
5327	0198	0037
008408999292V7	00840899000001	00840000000000
1374	0205	0039
006808091574M8	00680809000001	00680000000000
008706985176M8	00870698000001	00870000000000
5259	0441	0056
8750	0171	0079
8331	0247	0050
005604415143M8	00560441000001	00560000000000
6922	0712	0068
008706985041M8	00870698000001	00870000000000
2925	0141	0037
005604412246M8	00560441000001	00560000000000
006007929505M8	00600792000001	00600000000000
003706539202M8	00370653000001	00370000000000
8016	0796	0079
006406223923M8	00640622000001	00640000000000
5472	0714	0074
003706531050V8	00370653000001	00370000000000
008105572837M8	00810557000001	00810000000000
7565	0557	0081
006002723074M8	00600272000001	00600000000000
3140	0338	0037
003707253705M8	00370725000001	00370000000000
5464	0430	0068
008706982146M8	00870698000001	00870000000000
003701412925M8	00370141000001	00370000000000
9254	0441	0056
5758	0480	0084
008108242772M8	00810824000001	00810000000000
1788	0205	0039
006006617925M8	00600661000001	00600000000000
008706981896M8	00870698000001	00870000000000
007407141564M8	00740714000001	00740000000000
6016	0353	0037
2491	0698	0087
007105026662M8	00710502000001	00710000000000
005006181226M8	00500618000001	00500000000000
006007925551M8	00600792000001	00600000000000
7081	0255	0052
005202555714M8	00520255000001	00520000000000
3407	0430	0068
5489	0615	0084
2990	0502	0071
4925	0615	0084
6697	0899	0084
006806381237M8	00680638000001	00680000000000
4557	0528	0079
004508032420M8	00450803000001	00450000000000
006006617927M8	00600661000001	00600000000000
007105022147M8	00710502000001	00710000000000
7688	0653	0037
2097	0714	0074
1362	0661	0060
007407144233M8	00740714000001	00740000000000
6971	0899	0084
9493	0502	0071
6411	0917	0087
3826	0486	0050
005002477031M8	00500247000001	00500000000000
00840000000000	00840000000000	00840000000000
1119	0184	0056
003902056903M8	00390205000001	00390000000000
007905861413M8	00790586000001	00790000000000
008706989487M8	00870698000001	00870000000000
003703054902M8	00370305000001	00370000000000
006009289048M8	00600928000001	00600000000000
008709171759M8	00870917000001	00870000000000
9129	0698	0087
006009015585M8	00600901000001	00600000000000
0424	0424	0037
8738	0698	0087
007902914349M8	00790291000001	00790000000000
4843	0732	0087
0039	0039	0039
6425	0809	0068
8976	0317	0071
0284	0284	0064
008709172040M8	00870917000001	00870000000000
006806388843M8	00680638000001	00680000000000
6575	0480	0084
6745	0714	0074
3497	0567	0052
8050	0899	0084
003902058747M8	00390205000001	00390000000000
9111	0130	0045
007902917161M8	00790291000001	00790000000000
0198	0198	0037
7287	0430	0068
6148	0191	0060
4474	0792	0060
003902058122M8	00390205000001	00390000000000
008108553289M8	00810855000001	00810000000000
003708906613L8	00370890000001	00370000000000
007407144237M7	00740714000001	00740000000000
2685	0899	0084
006402842727M8	00640284000001	00640000000000
007407145401M8	00740714000001	00740000000000
9101	0431	0037
3042	0899	0084
9541	0899	0084
9641	0917	0087
2409	0171	0079
4629	0796	0079
008706981005M8	00870698000001	00870000000000
008707325945M8	00870732000001	00870000000000
8712	0430	0068
006407089223M7	00640708000001	00640000000000
1936	0430	0068
008706984076M8	00870698000001	00870000000000
2759	0480	0084
6974	0615	0084
00680214000001	00680214000001	00680000000000
008709175192M8	00870917000001	00870000000000
007407143111M8	00740714000001	00740000000000
008706987721M8	00870698000001	00870000000000
004505146084M8	00450514000001	00450000000000
9791	0430	0068
008707328337M8	00870732000001	00870000000000
008108558969M8	00810855000001	00810000000000
5949	0283	0079
006002726004M8	00600272000001	00600000000000
007902915944M8	00790291000001	00790000000000
8453	0486	0050
006006618822M8	00600661000001	00600000000000
008408998964M8	00840899000001	00840000000000
8637	0661	0060
007105024302M8	00710502000001	00710000000000
006406222654M8	00640622000001	00640000000000
2489	0586	0079
003902052578M8	00390205000001	00390000000000
005002479431M8	00500247000001	00500000000000
008707328797M8	00870732000001	00870000000000
006009015114M8	00600901000001	00600000000000
3596	0824	0081
6768	0901	0060
9685	0198	0037
003707259846M8	00370725000001	00370000000000
5756	0247	0050
007901717208M8	00790171000001	00790000000000
8385	0917	0087
4084	0293	0071
006001916093M8	00600191000001	00600000000000
006806241458M7	00680624000001	00680000000000
003703533768M8	00370353000001	00370000000000
1942	0917	0087
006009015105M8	00600901000001	00600000000000
003707193119M8	00370719000001	00370000000000
5922	0293	0071
8698	0528	0079
1605	0528	0079
006402841785M8	00640284000001	00640000000000
007105023844M8	00710502000001	00710000000000
2623	0824	0081
5605	0142	0087
4967	0502	0071
008108554029M7	00810855000001	00810000000000
1345	0661	0060
006804307782M8	00680430000001	00680000000000
007407142722M8	00740714000001	00740000000000
3417	0567	0052
4522	0622	0064
2348	0171	0079
8001	0661	0060
1712	0714	0074
5478	0661	0060
2567	0293	0071
008709174784M8	00870917000001	00870000000000
005202552268M8	00520255000001	00520000000000
1947	0272	0060
007901719633M8	00790171000001	00790000000000
8178	0191	0060
008706987504M8	00870698000001	00870000000000
007407143521M8	00740714000001	00740000000000
003902051835M8	00390205000001	00390000000000
1649	0430	0068
005208347332M8	00520834000001	00520000000000
3588	0245	0037
5519	0714	0074
5942	0698	0087
7866	0353	0037
7885	0714	0074
003704318460M8	00370431000001	00370000000000
7175	0618	0050
5353	0502	0071
5130	0478	0074
7361	0719	0037
003902059826M8	00390205000001	00390000000000
6861	0478	0074
9276	0714	0074
7847	0478	0074
007407147291M8	00740714000001	00740000000000
008108556388M8	00810855000001	00810000000000
006406224468M8	00640622000001	00640000000000
8884	0442	0045
8192	0917	0087
005002475131M8	00500247000001	00500000000000
2761	0480	0084
0557	0557	0081
7391	0638	0068
006009037557M8	00600903000001	00600000000000
4755	0903	0060
4751	0557	0081
7326	0917	0087
007407146542M8	00740714000001	00740000000000
007407145849M8	00740714000001	00740000000000
5423	0698	0087
9205	0615	0084
008709173153M8	00870917000001	00870000000000
008404807002M8	00840480000001	00840000000000
3976	0205	0039
2412	0714	0074
6427	0714	0074
003706517226M8	00370651000001	00370000000000
1458	0624	0068
5477	0698	0087
4268	0624	0068
004504429406M8	00450442000001	00450000000000
4984	0714	0074
8693	0714	0074
005002479489M8	00500247000001	00500000000000
007407146077M8	00740714000001	00740000000000
7029	0184	0056
006009015923M8	00600901000001	00600000000000
1478	0502	0071
3444	0732	0087
8231	0732	0087
006407083145M8	00640708000001	00640000000000
8517	0714	0074
8950	0714	0074
8404	0247	0050
2512	0732	0087
5246	0502	0071
9486	0618	0050
3242	0668	0071
006009284125M8	00600928000001	00600000000000
7273	0796	0079
007905284557M8	00790528000001	00790000000000
3746	0624	0068
8340	0214	0068
008706983664M8	00870698000001	00870000000000
005002474078M7	00500247000001	00500000000000
8421	0725	0037
6860	0661	0060
3580	0480	0084
4091	0928	0060
7387	0714	0074
5232	0557	0081
008105578219M8	00810557000001	00810000000000
004504424819M8	00450442000001	00450000000000
005604415743M8	00560441000001	00560000000000
8607	0441	0056
008108556702M8	00810855000001	00810000000000
007905867913M8	00790586000001	00790000000000
007404783983M8	00740478000001	00740000000000
3162	0928	0060
007902911024M8	00790291000001	00790000000000
9453	0803	0045
3468	0732	0087
006804308722M8	00680430000001	00680000000000
9758	0899	0084
008105575219M8	00810557000001	00810000000000
6347	0622	0064
007404782597M8	00740478000001	00740000000000
1368	0442	0045
005002471598M8	00500247000001	00500000000000
007902914906M8	00790291000001	00790000000000
8793	0732	0087
003702452248M8	00370245000001	00370000000000
1766	0855	0081
006806245578M8	00680624000001	00680000000000
008707321489M8	00870732000001	00870000000000
007907963824M7	00790796000001	00790000000000
003703535064M8	00370353000001	00370000000000
8121	0171	0079
1079	0317	0071
007407149630M8	00740714000001	00740000000000
008706989354M8	00870698000001	00870000000000
5139	0714	0074
005202554626M8	00520255000001	00520000000000
8247	0899	0084
9300	0622	0064
006406224986M7	00640622000001	00640000000000
008404804030M8	00840480000001	00840000000000
008408997812M8	00840899000001	00840000000000
5212	0901	0060
006001914337M8	00600191000001	00600000000000
6155	0793	0079
5975	0283	0079
007407141346M8	00740714000001	00740000000000
007407143279M8	00740714000001	00740000000000
9728	0796	0079
008108556234M8	00810855000001	00810000000000
004508038563M8	00450803000001	00450000000000
008706987585M8	00870698000001	00870000000000
006407087216M5	00640708000001	00640000000000
2852	0338	0037
6112	0917	0087
5990	0430	0068
008108246330M8	00810824000001	00810000000000
007407143870M8	00740714000001	00740000000000
1161	0698	0087
5574	0442	0045
2119	0283	0079
007902915160M8	00790291000001	00790000000000
2079	0247	0050
005004869466M8	00500486000001	00500000000000
2900	0293	0071
8573	0834	0052
4374	0130	0045
9099	0661	0060
007905867500M8	00790586000001	00790000000000
2677	0698	0087
